id,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,average_review
3571862,t,80,80,3,1.0,1.0,1.0,6523,$150.00,31,1124,12,9.633333333333333
3580497,f,8,8,4,1.0,2.0,2.0,6523,$150.00,31,1123,86,9.85
3585870,f,1,1,2,1.0,1.0,1.0,6523,$140.00,2,27,224,9.616666666666667
3590692,t,3,3,1,1.0,1.0,1.0,6523,$39.00,8,730,34,9.8
3638346,t,2,2,2,1.0,1.0,1.0,6523,$103.00,2,7,117,9.95
3638744,t,2,2,2,1.0,1.0,1.0,6523,$69.00,7,1125,29,9.533333333333333
3639045,f,1,1,4,1.0,1.0,2.0,6523,$65.00,30,1125,5,8.733333333333334
3666681,t,80,80,2,1.0,,1.0,6523,$135.00,30,1123,14,9.816666666666666
3689246,f,1,1,2,1.0,1.0,1.0,6523,$263.00,2,10,34,9.6
3696178,t,2,2,2,1.0,1.0,1.0,6523,$50.00,3,1125,53,9.716666666666667
3697283,f,1,1,1,1.0,1.0,1.0,6523,$85.00,2,7,11,9.3
3731110,t,1,1,3,1.0,,1.0,6523,$100.00,2,21,141,9.666666666666668
3742513,t,16,16,2,2.0,1.0,1.0,6523,$17.00,1,1125,124,9.666666666666668
3760040,f,4,4,2,1.0,1.0,1.0,6523,$148.00,1,1124,144,9.533333333333333
3783533,t,1,1,6,1.0,2.0,3.0,6523,$85.00,1,180,299,9.85
3797518,f,1,1,2,1.0,1.0,1.0,6523,$100.00,3,7,2,9.75
3798482,f,1,1,2,1.0,1.0,1.0,6523,$54.00,2,6,170,9.95
3809530,f,3,3,3,1.0,1.0,2.0,6523,$218.00,1,1125,100,10.0
3811926,t,1,1,2,1.0,1.0,1.0,6523,$34.00,1,1125,420,9.8
3826514,f,1,1,4,2.0,2.0,2.0,6523,$124.00,3,30,266,9.633333333333333
3828422,t,1,1,1,1.0,1.0,1.0,6523,$63.00,1,1125,37,9.95
3835961,f,1,1,1,1.0,1.0,1.0,6523,$55.00,3,7,2,10.0
3897045,f,5,5,2,1.0,1.0,1.0,6523,$90.00,30,365,25,9.133333333333333
3898355,f,12,12,5,1.0,1.0,2.0,6523,$37.00,1,365,397,8.65
3924599,f,6,6,1,1.0,,1.0,6523,$121.00,27,28,6,9.6
3944822,t,1,1,2,1.0,1.0,1.0,6523,$90.00,14,60,323,9.633333333333333
3946324,t,3,3,2,1.0,1.0,1.0,6523,$85.00,2,180,22,9.633333333333333
3951336,f,0,0,1,1.0,1.0,1.0,6523,$44.00,2,1125,0,
3953322,f,2,2,6,2.5,3.0,3.0,6523,$278.00,2,1124,153,9.716666666666667
3953841,t,2,2,2,1.0,1.0,1.0,6523,$50.00,7,1125,40,9.766666666666666
3953880,t,2,2,2,1.0,1.0,1.0,6523,$80.00,7,1125,27,9.866666666666667
3962072,f,1,1,8,1.0,2.0,2.0,6523,$120.00,3,1125,69,9.666666666666668
3970529,t,1,1,4,1.0,1.0,1.0,6523,$150.00,4,29,109,9.95
